entropy,has_ip,numDigits,urlLength,numParameters,numFragments,isEncoded,numEncodedChar,numberOfPeriods,urlHasPortInString,num_%20,num_@,numSubDomains,hasHttp,hasHttps,urlAge,urlIntendedLifeSpan,urlLifeRemaining,urlIsLive,daysSinceExpiration,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,sscr,sbr,bscr,numberOfWhitespace,numberOfIncludedElements,numberOfDoubleDocuments,numberOfIframes,File
-3.646439345,0,0,20,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,227,365,137,TRUE,137,42668,21,15,91,22983,11149,2.061440488,0.53864723,0.261296522,6839,40,0,0,tt-data/phish_links
-4.208918899,0,2,64,0,0,FALSE,0,4,FALSE,0,0,2,TRUE,FALSE,338,365,26,TRUE,26,4266,5,10,37,1403,1068,1.313670412,0.328879512,0.250351617,968,1,0,0,tt-data/phish_links
-4.146439345,0,0,40,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3407,3652,244,TRUE,244,124,1,1,0,0,27,0,0,0.217741935,0,0,0,0,tt-data/phish_links
-4.113172736,0,0,41,0,0,FALSE,0,2,FALSE,0,0,2,TRUE,FALSE,9033,9665,632,FALSE,632,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.957704707,0,14,160,2,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,0,0,0,TRUE,0,27,1,0,0,0,4,0,0,0.148148148,0,0,0,0,tt-data/phish_links
-4.22507052,0,0,40,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3940,4017,76,TRUE,76,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.269035164,0,1,41,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3806,4017,210,TRUE,210,1417,3,1,2,0,421,0,0,0.297106563,0,0,0,0,tt-data/phish_links
-4.033513501,0,0,37,0,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,703,1096,392,TRUE,392,164,1,0,0,0,28,0,0,0.170731707,0,0,0,0,tt-data/phish_links
-3.715018266,0,0,32,0,0,FALSE,0,1,FALSE,0,0,0,TRUE,FALSE,2935,3226,291,FALSE,291,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.211260736,0,2,29,0,1,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,3328,3342,14,TRUE,14,382,0,0,0,342,119,2.87394958,0.895287958,0.311518325,58,2,0,0,tt-data/phish_links
-4.405855663,0,10,41,0,0,FALSE,0,3,FALSE,0,0,2,TRUE,FALSE,5448,5478,29,TRUE,29,84478,0,5,8,82205,29644,2.773073809,0.973093586,0.350907929,61943,5,0,0,tt-data/phish_links
-4.286592374,0,0,57,0,0,FALSE,0,1,FALSE,0,0,3,FALSE,TRUE,283,365,81,TRUE,81,15508,6,8,40,4933,4147,1.189534603,0.318093887,0.267410369,0,11,0,0,tt-data/phish_links
-3.75326969,0,0,25,0,0,FALSE,0,2,FALSE,0,0,1,TRUE,FALSE,64,365,300,FALSE,300,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.689027783,0,28,68,0,0,FALSE,0,1,FALSE,0,0,3,FALSE,TRUE,9,366,356,FALSE,356,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
